38;bunker;2801.00;10.88;2112.00;6.03;0
38;bunker;2813.00;10.28;2087.00;2.41;0
38;bunker;2810.00;10.88;2111.00;1.96;0
38;bunker;2788.00;10.28;2097.00;4.98;0
38;bunker;2805.00;10.03;2079.00;6.19;0
38;bunker;2784.00;11.03;2120.00;0.41;0
38;bunker;2810.00;10.57;2098.00;4.54;0
38;bunker;2762.00;11.10;2113.00;2.48;0
38;bunker;2817.00;10.43;2097.00;4.19;0
38;synthetic_refinery;2790.00;11.10;2115.00;6.16;0
38;radar_station;2813.00;10.65;2111.00;0.83;0
100;air_base;2246.00;9.60;2117.00;5.58;0
100;naval_base;2265.00;9.50;2131.00;-2.63;8490
100;synthetic_refinery;2265.00;9.78;2122.00;5.15;0
100;radar_station;2289.00;12.20;2114.00;5.65;0
100;rocket_site;2266.00;11.68;2107.00;0.92;0
101;naval_base;1844.00;10.05;2166.00;-1.80;7724
101;bunker;1841.00;10.65;2096.00;2.48;0
101;fuel_silo;2065.00;15.10;2169.00;1.53;0
101;radar_station;1952.00;16.08;2101.00;0.79;0
101;nuclear_reactor;2063.00;13.07;2158.00;4.70;0
120;air_base;2490.00;9.88;1968.00;0.04;0
120;naval_base;2482.00;9.50;1971.00;-1.29;3590
120;coastal_bunker;2496.00;9.60;1978.00;-3.14;0
120;coastal_bunker;2485.00;9.50;1974.00;-2.94;0
139;bunker;2787.00;9.65;1982.00;0.86;0
139;bunker;2773.00;9.70;1979.00;6.09;0
139;synthetic_refinery;2770.00;9.70;1979.00;5.65;0
139;nuclear_reactor;2788.00;9.62;1984.00;4.10;0
141;naval_base;2814.00;9.60;2020.00;-3.61;2230
141;bunker;2813.00;9.60;2019.00;2.92;0
142;naval_base;2650.00;9.62;2055.00;-2.21;2530
142;naval_base;2629.00;9.60;2040.00;-2.21;2530
142;naval_base;2639.00;9.70;2050.00;-1.89;2530
142;naval_base;2670.00;9.50;2066.00;-2.11;0
142;naval_base;2645.00;11.00;2026.00;-2.25;2506
142;naval_base;2652.00;9.50;2061.00;-2.36;0
142;bunker;2639.00;10.03;2017.00;1.87;0
142;bunker;2644.00;9.78;2052.00;3.09;0
142;bunker;2666.00;10.80;2059.00;5.76;0
142;bunker;2647.00;10.95;2039.00;3.59;0
142;bunker;2652.00;9.88;2056.00;5.65;0
142;bunker;2656.00;12.90;2010.00;2.04;0
142;bunker;2630.00;9.60;2039.00;2.65;0
142;bunker;2640.00;10.57;2029.00;0.49;0
142;coastal_bunker;2631.00;9.50;2048.00;-1.89;0
142;coastal_bunker;2633.00;9.50;2028.00;-1.57;0
142;coastal_bunker;2654.00;9.50;2061.00;-2.36;0
142;coastal_bunker;2669.00;9.50;2071.00;-2.11;0
142;coastal_bunker;2653.00;9.95;2057.00;-2.21;0
142;rocket_site;2646.00;9.75;2012.00;0.11;0
143;naval_base;2694.00;9.50;2085.00;-1.57;0
143;naval_base;2712.00;9.60;2083.00;-2.08;0
143;naval_base;2704.00;9.50;2087.00;-2.60;0
143;naval_base;2717.00;9.60;2106.00;-1.67;2554
143;naval_base;2715.00;9.62;2092.00;-1.11;0
143;bunker;2703.00;9.62;2088.00;1.37;0
143;bunker;2717.00;10.00;2101.00;4.54;0
143;bunker;2698.00;9.68;2084.00;5.76;0
143;bunker;2730.00;10.78;2087.00;3.59;0
143;bunker;2717.00;9.73;2085.00;1.53;0
143;bunker;2733.00;10.18;2111.00;2.04;0
143;coastal_bunker;2712.00;9.60;2089.00;-1.11;0
143;coastal_bunker;2711.00;9.50;2110.00;-1.67;0
143;coastal_bunker;2727.00;9.60;2114.00;-1.77;0
143;coastal_bunker;2712.00;9.60;2083.00;-2.08;0
143;coastal_bunker;2695.00;9.50;2084.00;-1.57;0
143;coastal_bunker;2708.00;9.60;2100.00;-2.60;0
