language,filename,relative_path,key_count
japanese,DRS_focus_l_japanese.yml,japanese/DRS_focus_l_japanese.yml,0
japanese,DRS_ideas_l_japanese.yml,japanese/DRS_ideas_l_japanese.yml,0
japanese,MYS_direction_l_japanese.yml,japanese/MYS_direction_l_japanese.yml,0
japanese,MYS_focus_l_japanese.yml,japanese/MYS_focus_l_japanese.yml,0
japanese,CHN_strike_events_l_japanese.yml,japanese/bakasekai/CHN_strike_events_l_japanese.yml,7
japanese,Harvest_System_l_japanese.yml,japanese/bakasekai/Harvest_System_l_japanese.yml,0
japanese,LON_focus_l_japanese.yml,japanese/bakasekai/LON_focus_l_japanese.yml,28
japanese,_bsm_anomaly_system_l_japanese.yml,japanese/bakasekai/_bsm_anomaly_system_l_japanese.yml,0
japanese,_bsm_fallen_empire_l_japanese.yml,japanese/bakasekai/_bsm_fallen_empire_l_japanese.yml,0
japanese,_bsm_negative_ideas_l_japanese.yml,japanese/bakasekai/_bsm_negative_ideas_l_japanese.yml,456
japanese,additional_decisions_l_japanese.yml,japanese/bakasekai/additional_decisions_l_japanese.yml,583
japanese,additional_traits_l_japanese.yml,japanese/bakasekai/additional_traits_l_japanese.yml,44
japanese,anomalies_l_japanese.yml,japanese/bakasekai/anomalies_l_japanese.yml,0
japanese,baka_traits_l_japanese.yml,japanese/bakasekai/baka_traits_l_japanese.yml,24
japanese,bsm_OE_l_japanese.yml,japanese/bakasekai/bsm_OE_l_japanese.yml,0
japanese,bsm_anomaly_l_japanese.yml,japanese/bakasekai/bsm_anomaly_l_japanese.yml,0
japanese,bsm_system_l_japanese.yml,japanese/bakasekai/bsm_system_l_japanese.yml,1
japanese,btl_l_japanese.yml,japanese/bakasekai/btl_l_japanese.yml,1
japanese,characters_l_japanese.yml,japanese/bakasekai/characters_l_japanese.yml,0
japanese,chi_l_japanese.yml,japanese/bakasekai/chi_l_japanese.yml,0
japanese,commonwealth_l_japanese.yml,japanese/bakasekai/commonwealth_l_japanese.yml,0
japanese,drs_focus_l_japanese.yml,japanese/bakasekai/drs_focus_l_japanese.yml,0
japanese,drs_ideas_l_japanese.yml,japanese/bakasekai/drs_ideas_l_japanese.yml,0
japanese,emu_empire_l_japanese.yml,japanese/bakasekai/emu_empire_l_japanese.yml,0
japanese,herunia_idea_l_japanese.yml,japanese/bakasekai/external/herunia_idea_l_japanese.yml,0
japanese,herunia_l_japanese.yml,japanese/bakasekai/external/herunia_l_japanese.yml,0
japanese,herunia_nf_l_japanese.yml,japanese/bakasekai/external/herunia_nf_l_japanese.yml,0
japanese,focustree_moddnig-team-tree_l_japanese.yml,japanese/bakasekai/focustree_moddnig-team-tree_l_japanese.yml,0
japanese,focustree_nazo_kari_l_japanese.yml,japanese/bakasekai/focustree_nazo_kari_l_japanese.yml,0
japanese,generic2_focus_l_japanese.yml,japanese/bakasekai/generic2_focus_l_japanese.yml,0
japanese,generic_focus_l_japanese.yml,japanese/bakasekai/generic_focus_l_japanese.yml,138
japanese,goc_l_japanese.yml,japanese/bakasekai/goc_l_japanese.yml,0
japanese,hrh_l_japanese.yml,japanese/bakasekai/hrh_l_japanese.yml,0
japanese,ice_l_japanese.yml,japanese/bakasekai/ice_l_japanese.yml,0
japanese,ita_l_japanese.yml,japanese/bakasekai/ita_l_japanese.yml,0
japanese,jpn_l_japanese.yml,japanese/bakasekai/jpn_l_japanese.yml,0
japanese,kor_l_japanese.yml,japanese/bakasekai/kor_l_japanese.yml,1
japanese,lon_I_japanese.yml,japanese/bakasekai/lon_I_japanese.yml,131
japanese,lon_I_l_japanese.yml,japanese/bakasekai/lon_I_l_japanese.yml,131
japanese,lve_l_japanese.yml,japanese/bakasekai/lve_l_japanese.yml,2
japanese,mac_l_japanese.yml,japanese/bakasekai/mac_l_japanese.yml,0
japanese,malta_focus_l_japanese.yml,japanese/bakasekai/malta_focus_l_japanese.yml,0
japanese,management_system_l_japanese.yml,japanese/bakasekai/management_system_l_japanese.yml,0
japanese,mco_l_japanese.yml,japanese/bakasekai/mco_l_japanese.yml,0
japanese,medals_l_japanese.yml,japanese/bakasekai/medals_l_japanese.yml,0
japanese,mon_l_japanese.yml,japanese/bakasekai/mon_l_japanese.yml,0
japanese,mys_l_japanese.yml,japanese/bakasekai/mys_l_japanese.yml,1
japanese,mystery_cosmetic_l_japanese.yml,japanese/bakasekai/mystery_cosmetic_l_japanese.yml,0
japanese,nka_l_japanese.yml,japanese/bakasekai/nka_l_japanese.yml,0
japanese,nmr_l_japanese.yml,japanese/bakasekai/nmr_l_japanese.yml,0
japanese,nmx_l_japanese.yml,japanese/bakasekai/nmx_l_japanese.yml,0
japanese,nor_l_japanese.yml,japanese/bakasekai/nor_l_japanese.yml,0
japanese,pol_l_japanese.yml,japanese/bakasekai/pol_l_japanese.yml,0
japanese,pos_l_japanese.yml,japanese/bakasekai/pos_l_japanese.yml,0
japanese,quiz_olympics_l_japanese.yml,japanese/bakasekai/quiz_olympics_l_japanese.yml,64
japanese,red_l_japanese.yml,japanese/bakasekai/red_l_japanese.yml,0
japanese,rus_l_japanese.yml,japanese/bakasekai/rus_l_japanese.yml,4
japanese,sbr_l_japanese.yml,japanese/bakasekai/sbr_l_japanese.yml,2
japanese,sov_l_japanese.yml,japanese/bakasekai/sov_l_japanese.yml,0
japanese,swi_l_japanese.yml,japanese/bakasekai/swi_l_japanese.yml,0
japanese,swk_l_japanese.yml,japanese/bakasekai/swk_l_japanese.yml,0
japanese,sys_evnt_l_japanese.yml,japanese/bakasekai/sys_evnt_l_japanese.yml,0
japanese,sys_tac_l_japanese.yml,japanese/bakasekai/sys_tac_l_japanese.yml,0
japanese,wargoals_l_japanese.yml,japanese/bakasekai/wargoals_l_japanese.yml,0
japanese,bsm_countries_autonomy_l_japanese.yml,japanese/map/bsm_countries_autonomy_l_japanese.yml,0
japanese,bsm_countries_cosmetic_l_japanese.yml,japanese/map/bsm_countries_cosmetic_l_japanese.yml,0
japanese,bsm_countries_l_japanese.yml,japanese/map/bsm_countries_l_japanese.yml,0
japanese,bsm_countries_long_l_japanese.yml,japanese/map/bsm_countries_long_l_japanese.yml,0
japanese,nsi_focus_l_japanese.yml,japanese/nsi_focus_l_japanese.yml,0
japanese,nsi_ideas_l_japanese.yml,japanese/nsi_ideas_l_japanese.yml,0
japanese,00_game_rules_l_japanese.yml,japanese/replace/00_game_rules_l_japanese.yml,8
japanese,BSM_core_l_japanese.yml,japanese/replace/BSM_core_l_japanese.yml,49
japanese,BKK_SJK_Long_l_japanese.yml,japanese/replace/bakasekai/BKK_SJK_Long_l_japanese.yml,190
