#12, 794
#35, 362
#45, 783
#50, 451
#54, 1067
#60, 1771
#67, 1401
#72, 1415
#85, 489
#97, 473
#111, 507
#122, 501
#161, 1150
#177, 1245
#196, 575
#208, 855
#276, 709
#306, 2228
#307, 1329
#376, 1164
#390, 1086
#397, 1220
#443, 1321
#495, 194
#497, 887
#508, 169
#520, 1100
#528, 1557
#530, 300
#544, 1160
#545, 1160
#552, 1135
#584, 1419
#602, 1592
#604, 874
#605, 341
#610, 1615
#620, 973
#641, 1577
#653, 2121
#657, 1228
#683, 1329
#701, 756
#708, 1212
#709, 1212
#727, 1567
#762, 1766
#796, 396
#798, 391
#802, 1360
#805, 1404
#864, 821
#983, 451
#984, 574
#985, 1264
#1002, 564
#1019, 628
#1061, 1679
#1114, 664
#1137, 260
#1243, 686
#1298, 248
#1308, 1050
#1312, 877
#1325, 913
#1376, 2201
#1377, 2201
#1385, 1859
#1397, 2307
#1413, 100
#1421, 923
#1426, 574
#1431, 1327
#1432, 709
#1434, 710
#1441, 1334
#1450, 1311
#1453, 637
#1455, 661
#1456, 662
#1456, 663
#1457, 1280
#1467, 1271
#1475, 946
#1476, 1837
#1482, 1054
#1483, 1578
#1484, 1051
#1486, 1277
#1487, 1274
#1490, 1286
#1511, 1733
#1513, 1303
#1513, 1732
#1524, 1357
#1534, 2432
1553, 388
1554, 982
1560, 984
1563, 237
1564, 236
1564, 237
1570, 215
1571, 215
1573, 523
1579, 185
1582, 217
1583, 217
1583, 1373
1600, 1565
1605, 1494
1611, 225
1612, 225
1614, 230
1614, 231
1614, 860
1615, 227
1616, 227
1618, 1835
1629, 533
1631, 2544
1636, 571
1639, 866
1640, 253
1641, 253
1641, 903
1644, 847
1647, 848
1648, 744
1655, 300
1681, 2096
1682, 871
1682, 2096
1683, 1403
1685, 866
1685, 1463
1692, 1498
1693, 1522
1699, 893
1701, 2199
1703, 877
1723, 848
1726, 746
1726, 801
1736, 1786
1742, 542
1746, 752
1747, 477
1748, 476
1757, 2126
1758, 529
1758, 530
1764, 792
1764, 867
1771, 868
1773, 786
1780, 876
1788, 567
1803, 497
1803, 498
1803, 2016
1805, 499
1805, 500
1805, 2019
1806, 473
1806, 474
1806, 499
1806, 502
1807, 487
1807, 501
1807, 502
1807, 503
1808, 487
1808, 502
1809, 493
1809, 494
1810, 499
1810, 501
1810, 502
1811, 492
1811, 493
1811, 499
1812, 466
1812, 479
1812, 492
1813, 466
1814, 491
1814, 492
1815, 465
1815, 488
1816, 464
1816, 465
1816, 474
1816, 475
1816, 488
1816, 499
1816, 500
1818, 498
1819, 497
1819, 498
1822, 495
1823, 483
1823, 494
1823, 495
1823, 538
1824, 479
1824, 483
1824, 541
1825, 461
1825, 477
1825, 479
1825, 534
1825, 540
1826, 461
1826, 477
1827, 531
1827, 538
1827, 2234
1834, 385
1835, 526
1838, 423
1838, 468
1838, 469
1839, 468
1839, 471
1840, 470
1840, 471
1845, 469
1846, 469
1857, 440
1863, 593
1864, 592
1864, 593
1918, 1681
1922, 606
1923, 606
1926, 619
1926, 620
1944, 560
1954, 577
1956, 957
2002, 1968
2044, 851
2052, 1105
2101, 2348
2123, 1036
2167, 381
2168, 382
2169, 683
2180, 2244
2184, 1231
2194, 2245
2197, 352
2222, 495
2225, 497
2232, 1531
2232, 1532
2241, 1850
2249, 259
2250, 259
2265, 288
2270, 292
2275, 111
2286, 295
2305, 824
2307, 1590
2334, 1484
2400, 493
2404, 74
2411, 130
2421, 142
2423, 1871
2430, 1646
2436, 1479
2456, 645
2465, 695
2466, 694
2467, 693
2473, 382
2475, 131
2476, 140
2481, 1969
2485, 699
2486, 790
2489, 268
2489, 269
2490, 152
2490, 390
2490, 713
2510, 164
2518, 706
2519, 282
2521, 1995
2529, 179
2543, 199
2554, 2089
2560, 755
2570, 341
2571, 2256
2573, 287
2574, 297
2581, 302
2582, 302
2585, 172
2589, 175
2591, 684
2607, 191
2611, 1476
2620, 201
2621, 201
2624, 76
2626, 764
2629, 632
2631, 74
2644, 648
